日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-07-02,10:35:05,基金,金融科技ETF(159851.XSHE),买,市价单,22100股,1.616,35713.6,22100股,-,0,5,全部成交,2025-07-02 10:35:05
2025-07-08,09:40:20,股票,贝肯能源(002828.XSHE),买,市价单,400股,10.3,4120,400股,-,0,5,全部成交,2025-07-08 09:40:20
2025-07-08,09:40:20,股票,凤形股份(002760.XSHE),买,市价单,200股,19.24,3848,200股,-,0,5,全部成交,2025-07-08 09:40:20
2025-07-09,14:00:00,股票,天元股份(003003.XSHE),卖,市价单,-700股,14.47,-10129,-700股,-,2275,10.06,全部成交,2025-07-09 14:00:00
2025-07-14,10:35:00,基金,金融科技ETF(159851.XSHE),卖,市价单,-44200股,0.842,-37216.4,-44200股,-,1502.8,5,全部成交,2025-07-14 10:35:00
2025-07-14,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,17200股,2.177,37444.4,17200股,-,0,5,全部成交,2025-07-14 10:35:05
2025-07-15,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-17200股,2.21,-38012,-17200股,-,567.6,5,全部成交,2025-07-15 10:35:00
2025-07-15,10:35:05,基金,金融科技ETF(159851.XSHE),买,市价单,44500股,0.845,37602.5,44500股,-,0,5,全部成交,2025-07-15 10:35:05
2025-07-18,10:35:00,基金,金融科技ETF(159851.XSHE),卖,市价单,-44500股,0.852,-37914,-44500股,-,311.5,5,全部成交,2025-07-18 10:35:00
2025-07-18,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,16700股,2.262,37775.4,16700股,-,0,5,全部成交,2025-07-18 10:35:05
2025-07-22,09:40:00,股票,凤形股份(002760.XSHE),卖,市价单,-200股,19.8,-3960,-200股,-,112,6.98,全部成交,2025-07-22 09:40:00
2025-08-04,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-16700股,2.286,-38176.2,-16700股,-,400.8,5,全部成交,2025-08-04 10:35:00
2025-08-04,10:35:05,基金,科100ETF(588120.XSHG),买,市价单,35500股,1.102,39121,35500股,-,0,5,全部成交,2025-08-04 10:35:05
2025-08-05,09:40:00,股票,海象新材(003011.XSHE),卖,市价单,-500股,21.64,-10820,-500股,-,2378.55,10.41,全部成交,2025-08-05 09:40:00
2025-08-05,09:40:00,股票,名雕股份(002830.XSHE),卖,市价单,-500股,16.09,-8045,-500股,-,785,9.02,全部成交,2025-08-05 09:40:00
2025-08-05,09:40:20,股票,同德化工(002360.XSHE),买,市价单,2100股,5.39,11319,2100股,-,0,5,全部成交,2025-08-05 09:40:20
2025-08-05,09:40:20,股票,宏达高科(002144.XSHE),买,市价单,900股,12.42,11178,900股,-,0,5,全部成交,2025-08-05 09:40:20
2025-08-05,09:40:20,股票,三夫户外(002780.XSHE),买,市价单,800股,13.81,11048,800股,-,0,5,全部成交,2025-08-05 09:40:20
2025-08-05,10:35:00,基金,科100ETF(588120.XSHG),卖,市价单,-35500股,1.112,-39476,-35500股,-,355,5,全部成交,2025-08-05 10:35:00
2025-08-05,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,17000股,2.306,39202,17000股,-,0,5,全部成交,2025-08-05 10:35:05
2025-08-07,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-17000股,2.311,-39287,-17000股,-,85,5,全部成交,2025-08-07 10:35:00
2025-08-07,10:35:05,基金,科100ETF(588120.XSHG),买,市价单,34900股,1.13,39437,34900股,-,0,5,全部成交,2025-08-07 10:35:05
2025-08-12,09:40:00,股票,宏达高科(002144.XSHE),卖,市价单,-900股,12.74,-11466,-900股,-,288,10.73,全部成交,2025-08-12 09:40:00
2025-08-19,09:40:00,股票,三夫户外(002780.XSHE),卖,市价单,-800股,13.81,-11048,-800股,-,0,10.52,全部成交,2025-08-19 09:40:00
2025-08-19,09:40:20,股票,海象新材(003011.XSHE),买,市价单,1100股,21.16,23276,1100股,-,0,5,全部成交,2025-08-19 09:40:20
2025-08-25,10:35:00,基金,科100ETF(588120.XSHG),卖,市价单,-34900股,1.294,-45160.6,-34900股,-,5723.6,5,全部成交,2025-08-25 10:35:00
2025-08-25,10:35:05,基金,金融科技ETF(159851.XSHE),买,市价单,42400股,1.01,42824,42400股,-,0,5,全部成交,2025-08-25 10:35:05
2025-08-26,10:35:00,基金,金融科技ETF(159851.XSHE),卖,市价单,-42400股,1.014,-42993.6,-42400股,-,169.6,5,全部成交,2025-08-26 10:35:00
2025-08-26,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,15800股,2.721,42991.8,15800股,-,0,5,全部成交,2025-08-26 10:35:05
2025-08-27,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-15800股,2.763,-43655.4,-15800股,-,663.6,5,全部成交,2025-08-27 10:35:00
2025-08-27,10:35:05,基金,新能源车龙头ETF(159637.XSHE),买,市价单,59900股,0.719,43068.1,59900股,-,0,5,全部成交,2025-08-27 10:35:05
2025-09-02,09:40:00,股票,同德化工(002360.XSHE),卖,市价单,-2100股,5.13,-10773,-2100股,-,-546,10.39,全部成交,2025-09-02 09:40:00
2025-09-02,09:40:20,股票,中天服务(002188.XSHE),买,市价单,2500股,5.53,13825,2500股,-,0,5,全部成交,2025-09-02 09:40:20
2025-09-08,10:35:00,基金,新能源车龙头ETF(159637.XSHE),卖,市价单,-59900股,0.814,-48758.6,-59900股,-,5690.5,5,全部成交,2025-09-08 10:35:00
2025-09-08,10:35:05,基金,180ETF(510180.XSHG),买,市价单,11200股,4.014,44956.8,11200股,-,0,5,全部成交,2025-09-08 10:35:05
2025-09-09,10:35:00,基金,180ETF(510180.XSHG),卖,市价单,-11200股,4.03,-45136,-11200股,-,179.2,5,全部成交,2025-09-09 10:35:00
2025-09-09,10:35:05,基金,半导体(512480.XSHG),买,市价单,36100股,1.267,45738.7,36100股,-,0,5,全部成交,2025-09-09 10:35:05
2025-09-11,10:35:00,基金,半导体(512480.XSHG),卖,市价单,-36100股,1.298,-46857.8,-36100股,-,1119.1,5,全部成交,2025-09-11 10:35:00
2025-09-11,10:35:05,基金,资源ETF(510410.XSHG),买,市价单,29800股,1.539,45862.2,29800股,-,0,5,全部成交,2025-09-11 10:35:05
2025-09-16,10:35:00,基金,资源ETF(510410.XSHG),卖,市价单,-29800股,1.526,-45474.8,-29800股,-,-387.4,5,全部成交,2025-09-16 10:35:00
2025-09-16,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,5700股,8.003,45617.1,5700股,-,0,5,全部成交,2025-09-16 10:35:05
2025-09-22,09:31:00,股票,贝肯能源(002828.XSHE),卖,市价单,-400股,10.17,-4068,-400股,-,-52,7.03,全部成交,2025-09-22 09:31:00
2025-09-22,09:31:00,股票,海象新材(003011.XSHE),卖,市价单,-1100股,20.63,-22693,-1100股,-,-583,16.35,全部成交,2025-09-22 09:31:00
2025-09-22,09:31:00,股票,中天服务(002188.XSHE),卖,市价单,-2500股,5.5,-13750,-2500股,-,-75,11.88,全部成交,2025-09-22 09:31:00
2025-09-22,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-5700股,7.994,-45565.8,-5700股,-,-51.3,5,全部成交,2025-09-22 10:35:00
2025-09-22,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,14800股,3.054,45199.2,14800股,-,0,5,全部成交,2025-09-22 10:35:05
2025-09-30,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-14800股,3.212,-47537.6,-14800股,-,2338.4,5,全部成交,2025-09-30 10:35:00
2025-09-30,10:35:05,基金,半导体(512480.XSHG),买,市价单,29400股,1.576,46334.4,29400股,-,0,5,全部成交,2025-09-30 10:35:05
2025-10-09,10:35:00,基金,半导体(512480.XSHG),卖,市价单,-29400股,1.66,-48804,-29400股,-,2469.6,5,全部成交,2025-10-09 10:35:00
2025-10-09,10:35:05,基金,创业板ETF(159915.XSHE),买,市价单,14500股,3.27,47415,14500股,-,0,5,全部成交,2025-10-09 10:35:05
2025-10-13,10:35:00,基金,创业板ETF(159915.XSHE),卖,市价单,-14500股,3.05,-44225,-14500股,-,-3190,5,全部成交,2025-10-13 10:35:00
2025-10-13,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,5200股,8.798,45749.6,5200股,-,0,5,全部成交,2025-10-13 10:35:05
2025-10-17,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-5200股,9.5,-49400,-5200股,-,3650.4,5,全部成交,2025-10-17 10:35:00
2025-10-17,10:35:05,基金,半导体(512480.XSHG),买,市价单,32900股,1.456,47902.4,32900股,-,0,5,全部成交,2025-10-17 10:35:05
2025-10-20,10:35:00,基金,半导体(512480.XSHG),卖,市价单,-32900股,1.461,-48066.9,-32900股,-,164.5,5,全部成交,2025-10-20 10:35:00
2025-10-20,10:35:05,基金,资源ETF(510410.XSHG),买,市价单,28700股,1.67,47929,28700股,-,0,5,全部成交,2025-10-20 10:35:05
2025-10-21,09:40:20,股票,中天服务(002188.XSHE),买,市价单,1300股,5.93,7709,1300股,-,0,5,全部成交,2025-10-21 09:40:20
2025-10-21,09:40:20,股票,海象新材(003011.XSHE),买,市价单,300股,20.9,6270,300股,-,0,5,全部成交,2025-10-21 09:40:20
2025-10-21,09:40:20,股票,三夫户外(002780.XSHE),买,市价单,500股,13.82,6910,500股,-,0,5,全部成交,2025-10-21 09:40:20
2025-10-21,09:40:20,股票,天元股份(003003.XSHE),买,市价单,600股,12.26,7356,600股,-,0,5,全部成交,2025-10-21 09:40:20
2025-10-21,09:40:20,股票,贝肯能源(002828.XSHE),买,市价单,700股,10.97,7679,700股,-,0,5,全部成交,2025-10-21 09:40:20
2025-10-21,09:40:20,股票,凤形股份(002760.XSHE),买,市价单,300股,20.45,6135,300股,-,0,5,全部成交,2025-10-21 09:40:20
2025-10-21,10:35:00,基金,资源ETF(510410.XSHG),卖,市价单,-28700股,1.684,-48330.8,-28700股,-,401.8,5,全部成交,2025-10-21 10:35:00
2025-10-21,10:35:05,基金,日经ETF(513520.XSHG),买,市价单,24900股,1.936,48206.4,24900股,-,0,5,全部成交,2025-10-21 10:35:05
2025-10-23,14:00:00,股票,贝肯能源(002828.XSHE),卖,市价单,-700股,12.36,-8652,-700股,-,973,9.33,全部成交,2025-10-23 14:00:00
2025-10-27,10:35:00,基金,日经ETF(513520.XSHG),卖,市价单,-24900股,1.926,-47957.4,-24900股,-,-249,5,全部成交,2025-10-27 10:35:00
2025-10-27,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,5500股,8.908,48994,5500股,-,0,5,全部成交,2025-10-27 10:35:05
2025-10-28,09:40:00,股票,海象新材(003011.XSHE),卖,市价单,-300股,23,-6900,-300股,-,630,8.45,全部成交,2025-10-28 09:40:00
2025-10-28,09:40:00,股票,天元股份(003003.XSHE),卖,市价单,-600股,13.01,-7806,-600股,-,450,8.9,全部成交,2025-10-28 09:40:00
2025-10-28,09:40:00,股票,凤形股份(002760.XSHE),卖,市价单,-300股,21.73,-6519,-300股,-,384,8.26,全部成交,2025-10-28 09:40:00
2025-10-28,09:40:20,股票,贝肯能源(002828.XSHE),买,市价单,2900股,11.55,33495,2900股,-,0,5,全部成交,2025-10-28 09:40:20
2025-10-28,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-5500股,8.734,-48037,-5500股,-,-957,5,全部成交,2025-10-28 10:35:00
2025-10-28,10:35:05,基金,日经ETF(513520.XSHG),买,市价单,25500股,1.93,49215,25500股,-,0,5,全部成交,2025-10-28 10:35:05
